TableName,RecordIDField,RecordID,FieldName,NewValue,ChangedAt,ChangedBy
shiplog,ShipID,WEB_SHIP_1778851828057_igxdby69y,ShipID,WEB_SHIP_1778851828057_igxdby69y,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778831933050_kaywlphej,ShipStatus,DELETED,2026-05-15T22:30:52.050Z,9
shiplog,ShipID,WEB_SHIP_1778831933050_kaywlphej,ShipID,WEB_SHIP_1778831933050_kaywlphej,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778838826950_ojktg4mja,ShipStatus,DELETED,2026-05-15T22:30:46.602Z,9
shiplog,ShipID,WEB_SHIP_1778838826950_ojktg4mja,ShipID,WEB_SHIP_1778838826950_ojktg4mja,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778838382752_cuz0q4cb9,ShipStatus,DELETED,2026-05-15T22:30:42.842Z,9
shiplog,ShipID,WEB_SHIP_1778838382752_cuz0q4cb9,ShipID,WEB_SHIP_1778838382752_cuz0q4cb9,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778884208041_q6uhv97pg,ShipID,WEB_SHIP_1778884208041_q6uhv97pg,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778832901154_mzxw8k6pb,ShipID,WEB_SHIP_1778832901154_mzxw8k6pb,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778831626152_sf4jyubl7,ShipID,WEB_SHIP_1778831626152_sf4jyubl7,2026-05-15,9
shiplog,ShipID,WEB_SHIP_1778728535494_k6pmbfv0f,ShipID,WEB_SHIP_1778728535494_k6pmbfv0f,2026-05-13,9
shiplog,ShipID,SHIP023234,ShipStatus,DELETED,2026-04-24T08:04:39.932Z,9
shiplog,ShipID,SHIP022218,ShipStatus,DELETED,2026-04-24T08:04:35.997Z,9
shiplog,ShipID,SHIP887818,ShipStatus,DELETED,2026-04-24T08:04:30.396Z,9
shiplog,ShipID,TEST1234,ShipStatus,DELETED,2026-04-24T07:51:25.189Z,9
shiplog,ShipID,WEB_SHIP_1776391866873_4s1cp5qkd,ShipID,WEB_SHIP_1776391866873_4s1cp5qkd,2026-04-17,9
shiplog,ShipID,WEB_SHIP_1776388009525_ewmnb0tr9,ShipID,WEB_SHIP_1776388009525_ewmnb0tr9,2026-04-17,9
shiplog,ShipID,WEB_SHIP_1776388008913_wvw31c4bz,ShipID,WEB_SHIP_1776388008913_wvw31c4bz,2026-04-17,9
shiplog,ShipID,WEB_SHIP_1776234732272_1x60ptqaa,ShipID,WEB_SHIP_1776234732272_1x60ptqaa,2026-04-15,9
shiplog,ShipID,WEB_SHIP_1776233879674_2mhba3iwh,ShipID,WEB_SHIP_1776233879674_2mhba3iwh,2026-04-15,9
shiplog,ShipID,WEB_SHIP_1776229807857_8fuwn51ym,ShipID,WEB_SHIP_1776229807857_8fuwn51ym,2026-04-15,9
shiplog,ShipID,WEB_SHIP_1775704885249_isxvvx8bt,ShipID,WEB_SHIP_1775704885249_isxvvx8bt,2026-04-09,9
shiplog,ShipID,WEB_SHIP_1775704868440_bwbh2a66u,ShipID,WEB_SHIP_1775704868440_bwbh2a66u,2026-04-09,9
shiplog,ShipID,WEB_SHIP_1775642139121_zg0smioeh,ShipID,WEB_SHIP_1775642139121_zg0smioeh,2026-04-08T09:55:39.121Z,9
