plastic_id,plastic_code,plastic_family,plastic_subtype,thickness_mm,width_mm,standard_length_m,color_code_raw,color_name_normalized,electrical_property,silicone_status_normalized,additive_flags,additive_text_raw,appearance_text_raw,an_code_raw,an_meaning_normalized,si_code_raw,ab_code_raw,status_review,remarks_raw,is_active,created_by,created_at,updated_at
b7392afe-2a72-4ea1-81d6-c5cee0c9977b,PLA-536D8F15,PS,,0.58,405.0,350.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.58x405x350 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
7c702acd-fb35-4b37-87b0-69b9bd1b5b70,PLA-6B08ECE2,PS,,0.78,520.0,250.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.78x520x250,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
b19c9145-4efe-47e7-8a98-6af351bc6f56,PLA-89B43553,PET,,0.78,640.0,200.0,CL,clear,conductive,,,,,,,,,approved,PET(CL)0.78x640x200AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
8a2bd8db-1b0c-4334-9aa0-b85b9a373ef0,PLA-94D4D44E,PS,PST,1.0,550.0,200.0,グレー,gray,conductive,unknown,,,,AN,,SI,,approved,PST(グレー)1.0x550x200 AN Si 600m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
4df8dc41-53e5-4c10-92c1-efc3abfdf8e2,PLA-3C33A81D,PS,,0.58,435.0,350.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.58x435x350 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
f75b9b4a-dd8d-441c-a45e-f6770a98b9d5,PLA-1DF9F96F,PS,,0.98,405.0,250.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.98x405x250ＶＮ,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
f1a654ce-4e4c-411e-b1c1-90da6465bc06,PLA-CF264B3E,PS,,0.58,520.0,350.0,N,natural,normal,,,,,AN,,,,approved,PS(N)0.58x520x350 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
102fcb82-6d02-4ea9-a518-2337b9a218dc,PLA-F5E64A33,PET,,0.98,405.0,200.0,CL,clear,normal,,,,,,,,,approved,PET(CL)0.98x405x200mSI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
cf2a10d6-7862-46b7-a5af-0dc8a9935654,PLA-CE10B5BA,PS,,0.58,520.0,350.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.58x520x350 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
018f2083-f314-4d16-b66e-5ee8b81e638b,PLA-92C6C6BA,PS,,1.0,640.0,200.0,導電,,conductive,,,,,,,,,approved,PS(導電)1.00x640x200,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
8e6f331c-34ca-4645-9859-47afd4b40266,PLA-857B5584,PET,,0.98,520.0,200.0,CL,clear,normal,,,,,AN,,,,approved,PET(CL)0.98x520x200m AN AB剤,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ff4d8b71-b7b0-412a-a575-2a4f25e0c6b8,PLA-9E776FD6,PS,,0.58,520.0,350.0,W,white,normal,unknown,,,,AN,,SI,,approved,PS(W)0.58x520x350 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
089cb273-5f28-452b-97bb-9d2141468aca,PLA-12A02874,PS,,1.18,435.0,200.0,導電,,conductive,,,,,,,,,approved,PS(導電)1.18x435x200,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
46b3e291-a562-4a61-bae9-d5c712618620,PLA-B82A02CE,PET,,0.98,550.0,200.0,CL,clear,normal,,,,,AN,,,,approved,PET(CL)0.98x550x200m AN AB剤,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
8d37bcb2-b6c4-4609-afbc-aca146068ca7,PLA-D8DA63DB,PET,A-PET,0.5,640.0,200.0,,,normal,,,,,,,,,approved,C-APET0.5x640x200 0m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
3be2c9ad-5fc2-4c27-ba17-4a42873ea0de,PLA-18A58C94,PET,A-PET,0.5,640.0,200.0,TB,transparent_blue,normal,,,,,,,,,approved,TB-APET0.5x640x200 49m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
756eae83-4617-4761-bb3d-dbc3397ce4a0,PLA-86DEED99,PS,,0.58,550.0,350.0,N,natural,normal,,,,,AN,,,,approved,PS(N)0.58x550x350 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
0b2091c0-34f9-4fca-b0b8-17a830287605,PLA-1D10EBE0,PS,,1.18,520.0,200.0,導電,,conductive,,,,,,,,,approved,PS(導電)1.18x520x200,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
