DataChangeID,TableName,RecordID,RecordIDField,FieldName,OldValue,NewValue,ChangedAt,ChangedBy,BaseValueAtEdit,BaseCommitID,BaseCommitAt,ChangeSource,ChangeNote,IsConflict,ResolvedValue,ResolvedAt,ResolvedBy
DCH1778804974811_f4zavguii,molds,5803,MoldID,RackLayerID,,700,2026-05-15T09:29:34.811Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1778804968158_4jgw5jaam,FALSE,,,
DCH1778804399350_m21ug0xiu,molds,5803,MoldID,RackLayerID,,711,2026-05-15T09:19:59.350Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1778804394401_ipgyks8ba,FALSE,,,
DCH1778804347148_iwdj822y0,molds,5803,MoldID,RackLayerID,,700,2026-05-15T09:19:07.148Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1778804341497_pg067qxlp,FALSE,,,
DCH1778803422111_sa8b5u5gq,molds,5793,MoldID,RackLayerID,,95,2026-05-15T09:03:42.111Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1778803416759_qsz202aqa,FALSE,,,
DCH1778801513880_54lkz2nnz,molds,5794,MoldID,RackLayerID,,95,2026-05-15T08:31:53.880Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1778801506889_tsf45qexy,FALSE,,,
DCH1778728541559_ahztryx8t,statuslogs.csv,WEB_SL_1778728540531_cse72l3zy,StatusLogID,Status,,OUT,2026-05-13,9,,,,api/add-shiplog,Auto-generated status,FALSE,,,
DCH1778728539742_bbxdy1eua,shiplog.csv,WEB_SHIP_1778728535494_k6pmbfv0f,ShipID,ShipID,,WEB_SHIP_1778728535494_k6pmbfv0f,2026-05-13,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1778728538007_jey41pz7l,Molds,5781,MoldID,KeeperCompany,2,1540,2026-05-13,9,,,,api/add-shiplog,金型・プラグ・抜型,FALSE,,,
DCH1778728389659r1n62,teflonlog,4665,TeflonLogID,TeflonStatus,ACTIVE,DELETED,2026-05-14T03:13:09.659Z,1,,,,teflon_wizard_delete,User trigger deletion,FALSE,,,
DCH1778728378262sdd5a,teflonlog,4664,TeflonLogID,TeflonStatus,ACTIVE,DELETED,2026-05-14T03:12:58.262Z,1,,,,teflon_wizard_delete,User trigger deletion,FALSE,,,
DCH17772743411921jnqk,teflonlog,4657,TeflonLogID,TeflonStatus,テフロン加工中,Completed,2026-04-27T07:19:01.192Z,9,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1777271400436_xlx34yffy,molds,5739,MoldID,RackLayerID,,121,2026-04-27T15:30:00.436Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1777271393732_by0scopgx,FALSE,,,
DCH1777271371454_ylmhrtw0o,molds,5737,MoldID,RackLayerID,,121,2026-04-27T15:29:31.454Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1777271366880_abn33mxiu,FALSE,,,
DCH1777271140265h913u,molds,5737,MoldID,MoldWeightModified,,7.45,2026-04-27T06:25:23.096Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1777266317569sox4m,teflonlog,4657,TeflonLogID,TeflonStatus,Sent,Completed,2026-04-27T05:05:17.569Z,9,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1777266271170b71m3,teflonlog,4657,TeflonLogID,DirectEdit,テフロン加工中,Sent,2026-04-27T05:04:31.170Z,9,,,,teflon_flat_edit,Direct Flat Grid Edit,FALSE,,,
DCH1777246367061m1z0k,molds,5787,MoldID,MoldWeightModified,,5.05,2026-04-26T23:32:43.573Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1777246135432hnqls,molds,5788,MoldID,MoldWeightModified,,5.05,2026-04-26T23:28:51.821Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1777246007638nxmuo,molds,5789,MoldID,MoldWeightModified,,5.15,2026-04-26T23:26:44.647Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH17772459022686u8ir,molds,5786,MoldID,MoldWeightModified,,3.3,2026-04-26T23:24:58.826Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1777245735153r30lc,molds,5792,MoldID,MoldWeightModified,,8.0,2026-04-26T23:22:12.105Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1777245694971bj2rj,molds,5792,MoldID,MoldWeightModified,,8.0,2026-04-26T23:21:30.767Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1777208245349coojj,teflonlog,4646,TeflonLogID,TeflonStatus,ACTIVE,DELETED,2026-04-26T12:57:25.349Z,9,,,,teflon_wizard_delete,User trigger deletion,FALSE,,,
DCH1777018584337jjysy,teflonlog,TL584337,TeflonLogID,TeflonStatus,,Requested,2026-04-24T08:16:24.337Z,8,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1777017879932bkavs,shiplog.csv,SHIP023234,ShipID,ShipStatus,ACTIVE,DELETED,2026-04-24T08:04:39.932Z,9,,,,transfer_module_delete,User trigger deletion,FALSE,,,
DCH1777017875997fp76c,shiplog.csv,SHIP022218,ShipID,ShipStatus,ACTIVE,DELETED,2026-04-24T08:04:35.997Z,9,,,,transfer_module_delete,User trigger deletion,FALSE,,,
DCH17770178703967ucxp,shiplog.csv,SHIP887818,ShipID,ShipStatus,ACTIVE,DELETED,2026-04-24T08:04:30.396Z,9,,,,transfer_module_delete,User trigger deletion,FALSE,,,
DCH1777017085189hod82,shiplog.csv,TEST1234,ShipID,ShipStatus,ACTIVE,DELETED,2026-04-24T07:51:25.189Z,9,,,,transfer_module_delete,User trigger deletion,FALSE,,,
