MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
326,389,1866,3400,05-Aug-24,
101,390,1311,3175,05-Aug-24,
99,391,1140,3173,05-Aug-24,
100,391,1141,3174,05-Aug-24,
98,392,2536,1475,05-Aug-24,
95,393,57,1348,05-Aug-24,
96,393,58,3170,05-Aug-24,
97,393,59,3171,05-Aug-24,
94,394,151,578,05-Aug-24,
355,394,2424,159,07-Aug-24,
91,395,51,350,05-Aug-24,
92,395,52,3166,05-Aug-24,
93,395,71,1359,05-Aug-24,
89,396,3439,1260,05-Aug-24,
90,396,3440,1271,05-Aug-24,
295,397,1684,2189,05-Aug-24,
85,398,891,3160,05-Aug-24,
84,399,541,1077,05-Aug-24,
82,400,429,505,05-Aug-24,
83,400,430,506,05-Aug-24,
81,401,896,2692,05-Aug-24,
80,401,1310,1297,05-Aug-24,
79,402,1870,3154,05-Aug-24,
78,403,1148,3153,05-Aug-24,
77,404,892,3152,05-Aug-24,
76,405,3010,3151,05-Aug-24,
75,406,1086,1540,05-Aug-24,
74,407,3436,1662,05-Aug-24,
73,408,1570,1514,05-Aug-24,
72,409,1567,1531,05-Aug-24,
71,410,1869,3146,05-Aug-24,
1362,411,1416,3310,11-Sep-24,
69,412,3214,1324,05-Aug-24,
31,412,3307,2168,05-Aug-24,PS
32,412,3309,2139,05-Aug-24,PET
67,412,3310,2140,05-Aug-24,PET
68,412,3311,2054,05-Aug-24,
430,413,3214,1324,09-Aug-24,
431,413,3216,2388,09-Aug-24,
66,413,3247,65,05-Aug-24,
64,414,2303,1301,05-Aug-24,
63,415,1414,2099,05-Aug-24,
62,416,1469,852,05-Aug-24,
61,417,3007,3136,05-Aug-24,
60,418,1083,3135,05-Aug-24,
59,420,3171,3134,05-Aug-24,
58,421,3435,1244,05-Aug-24,
102,422,1088,1521,05-Aug-24,
103,423,2019,2172,05-Aug-24,
104,424,1151,3178,05-Aug-24,
106,425,1150,3180,05-Aug-24,
108,426,3437,1671,05-Aug-24,
107,426,3438,1252,05-Aug-24,
109,426,3447,1249,05-Aug-24,
110,427,1089,1537,05-Aug-24,
299,428,1924,147,05-Aug-24,
297,428,1925,141,05-Aug-24,
298,428,1926,140,05-Aug-24,
112,429,542,1981,05-Aug-24,
113,430,1346,899,05-Aug-24,
114,431,982,2500,05-Aug-24,
116,432,1139,3190,05-Aug-24,
115,432,1142,3189,05-Aug-24,
117,433,229,2150,05-Aug-24,
120,434,2113,3194,05-Aug-24,
118,434,2114,3192,05-Aug-24,
119,434,2116,3193,05-Aug-24,
984,434,2121,3196,16-Aug-24,
121,435,2115,3195,05-Aug-24,
122,435,2121,3196,05-Aug-24,
123,436,3221,3197,05-Aug-24,
351,438,1861,3425,05-Aug-24,
111,439,1326,3185,05-Aug-24,
322,440,241,545,05-Aug-24,
350,442,693,3065,05-Aug-24,
247,443,257,3321,05-Aug-24,
216,444,1871,3290,05-Aug-24,
354,445,1138,3427,07-Aug-24,
436,445,1143,3509,09-Aug-24,ノート
220,445,1280,3294,05-Aug-24,
353,450,3103,3426,07-Aug-24,
463,452,33,346,16-Aug-24,
467,453,33,346,16-Aug-24,
613,454,569,995,16-Aug-24,
614,455,570,1037,16-Aug-24,
615,455,571,998,16-Aug-24,
1062,456,2532,2371,16-Aug-24,
2781,457,3424,,28-Jan-25,
2779,458,3425,,28-Jan-25,
2780,458,3426,,28-Jan-25,
751,459,1107,1749,16-Aug-24,
752,459,1108,2527,16-Aug-24,
2772,460,1109,,28-Jan-25,
2773,460,1112,,28-Jan-25,
2774,460,1113,,28-Jan-25,
2775,460,1114,,28-Jan-25,
2776,460,1115,,28-Jan-25,
2777,460,1116,,28-Jan-25,
2778,460,1117,,28-Jan-25,
731,461,1109,2545,16-Aug-24,左
2766,461,1112,,28-Jan-25,
2767,461,1113,,28-Jan-25,
2768,461,1114,,28-Jan-25,
2769,461,1115,,28-Jan-25,
2770,461,1116,,28-Jan-25,
2771,461,1117,,28-Jan-25,
732,461,1119,3789,16-Aug-24,
824,462,1624,924,16-Aug-24,
889,463,1852,3938,16-Aug-24,
585,464,520,607,16-Aug-24,
586,465,518,3650,16-Aug-24,
1361,466,3099,4292,11-Sep-24,
539,467,282,2480,16-Aug-24,
540,467,2163,1768,16-Aug-24,
2765,468,4324,,28-Jan-25,
1089,469,2896,1407,16-Aug-24,
1106,470,2415,1381,16-Aug-24,
1105,470,2745,1433,16-Aug-24,
2764,470,2799,,28-Jan-25,
1096,471,2533,2443,16-Aug-24,
1063,473,2531,2383,16-Aug-24,
1055,474,2524,4102,16-Aug-24,
1100,475,2525,2453,16-Aug-24,
1101,476,2526,2438,16-Aug-24,
1102,477,2530,2439,16-Aug-24,
2625,478,2535,,24-Jan-25,
1371,485,3411,2603,11-Sep-24,
508,486,160,633,16-Aug-24,
1092,490,2428,4135,16-Aug-24,
1093,490,2944,4138,16-Aug-24,
356,491,1304,3429,07-Aug-24,
357,491,1307,2497,07-Aug-24,
358,491,1308,2108,07-Aug-24,
359,491,3432,1664,07-Aug-24,
795,492,1420,3842,16-Aug-24,
767,493,1312,1289,16-Aug-24,
1538,493,1314,1291,20-Sep-24,
