LocationLogID,OldRackLayer,NewRackLayer,MoldID,DateEntry,CutterID,notes
,,370,5124,2025/01/07 11:16:16,,
,,370,5125,2025/01/07 11:16:58,,
,,370,3993,2025/01/07 11:17:08,,
,,370,5126,2025/01/07 11:17:16,,
,,370,5127,2025/01/07 11:17:23,,
,,370,5128,2025/01/07 11:17:27,,
,,370,5129,2025/01/07 11:17:32,,
,,370,5130,2025/01/07 11:17:40,,
,,370,5131,2025/01/07 11:17:49,,
,802,370,3236,2025/01/07 11:18:16,,
,,370,5132,2025/01/07 11:18:28,,
,,370,5133,2025/01/07 11:18:46,,
,,370,5134,2025/01/07 11:18:52,,
,,370,3535,2025/01/07 11:19:09,,
,,370,5135,2025/01/07 11:19:22,,
,,370,5136,2025/01/07 11:19:27,,
,,370,5137,2025/01/07 11:19:31,,
,,370,5138,2025/01/07 11:19:42,,
,,370,3536,2025/01/07 11:19:50,,
,,370,3539,2025/01/07 11:19:55,,
,,370,5139,2025/01/07 11:19:59,,
,,370,5140,2025/01/07 11:20:04,,
,,370,5141,2025/01/07 11:20:11,,
,,370,3508,2025/01/07 11:20:16,,
,,370,3543,2025/01/07 11:20:20,,
,,370,5142,2025/01/07 11:21:16,,
,,370,5143,2025/01/07 11:21:20,,
,,370,5144,2025/01/07 11:21:46,,
,,370,5145,2025/01/07 11:22:36,,
,,370,5146,2025/01/07 11:23:19,,
,,370,5147,2025/01/07 11:23:23,,
,,370,5148,2025/01/07 11:23:29,,
,,705,5149,2025/01/07 11:25:40,,
,,705,5150,2025/01/07 11:25:46,,
,,705,5151,2025/01/07 11:25:52,,
,,705,5152,2025/01/07 11:25:58,,
,,705,5153,2025/01/07 11:26:06,,
,,705,5154,2025/01/07 11:26:11,,
,,705,5155,2025/01/07 11:26:18,,
,,370,5156,2025/01/07 11:26:48,,
,,370,5157,2025/01/07 11:26:53,,
,,370,5158,2025/01/07 11:28:12,,
,,370,5159,2025/01/07 11:29:04,,
,,370,5160,2025/01/07 11:29:26,,
,,370,5161,2025/01/07 11:29:31,,
,,370,5162,2025/01/07 11:29:55,,
,,370,5163,2025/01/07 11:29:59,,
,,370,3512,2025/01/07 11:30:03,,
,,370,3511,2025/01/07 11:30:07,,
,,370,5164,2025/01/07 11:30:18,,
,,370,3514,2025/01/07 11:30:29,,
,,370,3513,2025/01/07 11:31:26,,
,,370,3776,2025/01/07 11:31:31,,
,,370,5165,2025/01/07 11:31:37,,
,,370,3515,2025/01/07 11:32:42,,
,,370,5166,2025/01/07 11:33:31,,
,,370,5167,2025/01/07 11:35:28,,
,,370,5168,2025/01/07 11:35:32,,
,,370,3774,2025/01/07 11:35:37,,
,,370,5169,2025/01/07 11:35:42,,
,,370,5170,2025/01/07 11:35:50,,
,802,370,4285,2025/01/07 11:51:30,,
,,370,5171,2025/01/07 11:53:06,,
,,370,5172,2025/01/07 11:53:15,,
,,370,5173,2025/01/07 12:31:08,,
,,370,5174,2025/01/07 13:06:20,,
,,370,3505,2025/01/07 13:07:30,,
,,370,3401,2025/01/07 13:17:43,,
,,370,3092,2025/01/07 13:17:49,,
,,370,3110,2025/01/07 13:17:54,,
,,370,5175,2025/01/07 13:18:05,,
,,370,5176,2025/01/07 13:18:20,,
,,370,5177,2025/01/07 13:18:39,,
,,370,5178,2025/01/07 13:19:01,,
,,370,5179,2025/01/07 13:19:07,,
,,370,5180,2025/01/07 13:19:23,,
,,370,5181,2025/01/07 13:19:27,,
,,370,5182,2025/01/07 13:19:30,,
,,370,5183,2025/01/07 13:19:33,,
,,370,5184,2025/01/07 13:19:37,,
,,370,5185,2025/01/07 13:19:42,,
,,370,5186,2025/01/07 13:19:44,,
,,370,5187,2025/01/07 13:20:01,,
,,370,5188,2025/01/07 13:42:15,,
,,370,5189,2025/01/07 13:42:40,,
,,370,5190,2025/01/07 13:42:50,,
,,370,5191,2025/01/07 13:43:20,,
,,370,5192,2025/01/07 13:43:41,,
,,370,5193,2025/01/07 13:43:52,,
,,370,5194,2025/01/07 13:43:57,,
,,370,5195,2025/01/07 13:44:03,,
,,370,5196,2025/01/07 13:44:45,,
,,370,5197,2025/01/07 13:45:17,,
,,370,5198,2025/01/07 13:47:18,,
,,370,5199,2025/01/07 13:47:25,,
,,370,5200,2025/01/07 13:47:33,,
,370,125,334,2025/01/07 13:49:07,,
,370,125,334,2025/01/07 13:49:45,,
,125,370,334,2025/01/07 13:51:48,,
,370,125,334,2025/01/07 13:52:04,,
,,370,5201,2025/01/07 13:53:05,,
,,370,5202,2025/01/07 13:54:11,,
,,370,5204,2025/01/07 13:58:42,,
,,370,5205,2025/01/07 13:58:52,,
,,370,5206,2025/01/07 14:39:34,,
,,370,5207,2025/01/07 14:40:15,,
,,370,5208,2025/01/07 14:42:40,,
,,370,5209,2025/01/07 14:57:58,,
,,370,5210,2025/01/07 14:59:37,,
,,370,5211,2025/01/07 15:12:12,,
,,370,5213,2025/01/07 17:26:18,,
,,370,5214,2025/01/07 17:26:57,,
,,370,5215,2025/01/07 17:27:55,,
,,370,5216,2025/01/07 17:28:28,,
,,370,5217,2025/01/07 17:28:34,,
,,370,5218,2025/01/07 17:28:38,,
,,370,5219,2025/01/07 17:28:42,,
,,370,5220,2025/01/07 17:28:47,,
,,370,5221,2025/01/07 17:29:41,,
,,370,5222,2025/01/07 17:30:11,,
,,370,5223,2025/01/07 17:30:18,,
,,370,5224,2025/01/07 17:30:21,,
,,370,5225,2025/01/07 17:30:25,,
,,370,5226,2025/01/07 17:30:28,,
,,370,5227,2025/01/07 17:30:31,,
,,370,5228,2025/01/07 17:30:35,,
,,370,5229,2025/01/07 17:30:48,,
,,370,5230,2025/01/07 17:30:52,,
,,370,5231,2025/01/07 17:58:51,,
,802,370,4280,2025/01/08 10:23:10,,
,32,370,758,2025/01/08 10:24:05,,
,370,32,758,2025/01/08 10:24:18,,
,32,370,758,2025/01/08 10:34:55,,
,370,32,758,2025/01/08 10:35:17,,
,,370,5232,2025/01/08 10:36:07,,
,,370,5233,2025/01/08 10:49:33,,
,124,370,294,2025/01/08 11:14:42,,
,370,124,294,2025/01/08 11:34:10,,
,,370,3288,2025/01/09 16:20:24,,
,,370,3785,2025/01/09 16:20:42,,
,,370,5236,2025/01/09 16:20:59,,
,,370,3786,2025/01/09 16:21:38,,
,700,64,4764,2025/01/15 14:48:30,,
,622,704,4960,2025/01/16 13:01:53,,
,652,704,5041,2025/01/16 13:02:04,,
,700,710,5110,2025/01/20 8:27:21,,
,700,31,5234,2025/01/23 10:24:49,,
,1001,911,,2025/01/24 14:50:04,733,
,1001,911,,2025/01/24 14:52:15,733,
,1001,911,,2025/01/24 15:15:52,733,
,911,1001,,2025/01/24 15:16:07,733,
,1001,911,,2025/01/24 15:16:13,733,
,1001,911,,2025/01/24 15:24:22,782,
,1001,911,,2025/01/24 15:25:04,736,
,1001,911,,2025/01/24 15:29:56,765,
,1001,911,,2025/01/24 15:30:14,764,
,1001,911,,2025/01/24 15:32:47,763,
,1001,911,,2025/01/24 15:33:16,762,
,1001,911,,2025/01/24 15:33:39,761,
,1001,911,,2025/01/24 15:33:59,759,
,1001,911,,2025/01/24 15:34:32,758,
,1001,911,,2025/01/24 15:34:53,757,
,1001,911,,2025/01/24 15:35:17,756,
,1001,911,,2025/01/24 15:35:41,755,
,1001,911,,2025/01/24 15:35:58,753,
,1001,911,,2025/01/24 15:36:32,749,
,1001,911,,2025/01/24 15:36:50,751,
,1001,911,,2025/01/24 15:37:08,746,
,1001,911,,2025/01/24 15:37:29,793,
,1001,911,,2025/01/24 15:37:56,747,
